idna_subject,checker_type,destination,tested_at
udc.msn.com,AVAILABILITY,origin.list,2022-03-07 07:35:41.458434
ads.aws.viber.com,AVAILABILITY,origin.list,2022-03-07 07:37:23.004097
glance-internal.inmobi.com,AVAILABILITY,origin.list,2022-03-07 07:37:28.334066
w.eastus.trafficmanager.inmobi.com,AVAILABILITY,origin.list,2022-03-07 07:37:44.279128
ads.mobclix.com,AVAILABILITY,origin.list,2022-03-07 07:39:56.220068
launchpad.chitika.com,AVAILABILITY,origin.list,2022-03-07 07:40:16.523825
server.chitika.com,AVAILABILITY,origin.list,2022-03-07 07:40:17.065423
in.meet.ssl2.duapps.com,AVAILABILITY,origin.list,2022-03-07 07:41:55.198130
www.addthiscdn.com,AVAILABILITY,origin.list,2022-03-07 07:44:26.261138
iad.appboy.com,AVAILABILITY,origin.list,2022-03-07 07:45:17.481269
stats.unity3d.com,AVAILABILITY,origin.list,2022-03-07 07:46:17.105766
hwstats.unity3d.com,AVAILABILITY,origin.list,2022-03-07 07:46:17.150125
dsp-vast.unityads.unity3d.com,AVAILABILITY,origin.list,2022-03-07 07:46:20.024644
hb.pubmatic.com,AVAILABILITY,origin.list,2022-03-07 07:47:33.861361
pub-sdk-cfg.criteo.com,AVAILABILITY,origin.list,2022-03-07 07:47:54.601673
fastlane-adv.rubiconproject.com,AVAILABILITY,origin.list,2022-03-07 07:48:25.184180
mrp.rubiconproject.com,AVAILABILITY,origin.list,2022-03-07 07:48:25.293418
sdk-config.fyber.com,AVAILABILITY,origin.list,2022-03-07 07:48:31.142529
integration.sharethrough.com,AVAILABILITY,origin.list,2022-03-07 07:49:39.742139
growth.branch.,AVAILABILITY,origin.list,2022-03-07 07:50:05.847474
banner-gateway.supersonicads.com,AVAILABILITY,origin.list,2022-03-07 07:50:15.831600
images.mxpnl.com,AVAILABILITY,origin.list,2022-03-07 07:50:44.196742
go.tapjoy.com,AVAILABILITY,origin.list,2022-03-07 07:52:14.259435
