subject,idna_subject,expiration_date,epoch,registrar
googleoptimize.com,googleoptimize.com,06-apr-2023,1680739200.0,MarkMonitor Inc.
amazon-adsystems.com,amazon-adsystems.com,16-sep-2022,1663286400.0,MarkMonitor Inc.
inmobi.net,inmobi.net,07-jul-2025,1751846400.0,"Amazon Registrar, Inc."
heyzap.com,heyzap.com,30-sep-2022,1664496000.0,"NameCheap, Inc."
styria-digital.com,styria-digital.com,11-jun-2022,1654905600.0,EPAG DOMAINSERVICES GmbH
popads.media,popads.media,25-jun-2022,1656115200.0,"GoDaddy.com, LLC"
redirectpopads.com,redirectpopads.com,01-dec-2022,1669852800.0,"Gransy, s.r.o."
megapopads.com,megapopads.com,30-aug-2022,1661817600.0,DropCatch.com 600 LLC
popads.com,popads.com,05-dec-2022,1670198400.0,"GoDaddy.com, LLC"
adnow.com,adnow.com,29-apr-2023,1682726400.0,"GoDaddy.com, LLC"
mobpartner.mobi,mobpartner.mobi,26-nov-2022,1669420800.0,"GoDaddy.com, LLC"
lifestreet.com,lifestreet.com,30-sep-2022,1664496000.0,"GoDaddy.com, LLC"
applifier.com,applifier.com,10-sep-2022,1662768000.0,MarkMonitor Inc.
applifier.info,applifier.info,03-apr-2023,1680480000.0,MarkMonitor Inc.
agentanalytics.com,agentanalytics.com,23-jun-2022,1655942400.0,"NameCheap, Inc."
sharethis.com,sharethis.com,02-mar-2023,1677715200.0,"Amazon Registrar, Inc."
wootric.com,wootric.com,14-aug-2022,1660435200.0,"NameCheap, Inc."
appnext.com,appnext.com,13-feb-2025,1739404800.0,"GoDaddy.com, LLC"
umeng.com,umeng.com,29-nov-2022,1669680000.0,"Alibaba Cloud Computing (Beijing) Co., Ltd."
addthisedge.com,addthisedge.com,02-aug-2022,1659398400.0,Tucows Domains Inc.
addthiscdn.com,addthiscdn.com,03-dec-2022,1670025600.0,Tucows Domains Inc.
a4.tl,a4.tl,20-sep-2023,1695168000.0,MarkMonitor
accengage.com,accengage.com,07-mar-2024,1709769600.0,MarkMonitor Inc.
aatkit.com,aatkit.com,12-apr-2022,1649721600.0,OVH sas
batch.com,batch.com,15-aug-2023,1692057600.0,Tucows Domains Inc.
leanplum.com,leanplum.com,01-nov-2024,1730419200.0,"GoDaddy.com, LLC"
pushwoosh.com,pushwoosh.com,02-may-2024,1714608000.0,PDR Ltd. d/b/a PublicDomainRegistry.com
ad-brix.com,ad-brix.com,09-apr-2023,1680998400.0,"Gabia, Inc."
appodealx.com,appodealx.com,14-mar-2022,1647216000.0,"GoDaddy.com, LLC"
persona.ly,persona.ly,06-aug-2023,1691280000.0,Libyan Spider Network (int)
trackjs.com,trackjs.com,07-apr-2023,1680825600.0,"NameCheap, Inc."
ad4screen.com,ad4screen.com,23-aug-2022,1661212800.0,Gandi SAS
getadmiral.com,getadmiral.com,01-jun-2023,1685577600.0,"CloudFlare, Inc."
fyber.com,fyber.com,23-nov-2022,1669161600.0,INWX GmbH
adview.cn,adview.cn,20-aug-2024,1724112000.0,阿里云计算有限公司（万网）
clickagy.com,clickagy.com,30-jun-2022,1656547200.0,"Amazon Registrar, Inc."
lkqd.net,lkqd.net,01-jun-2023,1685577600.0,Gandi SAS
2mdnsys.com,2mdnsys.com,26-dec-2022,1672012800.0,"NameCheap, Inc."
taplytics.com,taplytics.com,21-sep-2022,1663718400.0,Tucows Domains Inc.
steepto.com,steepto.com,27-feb-2023,1677456000.0,"GoDaddy.com, LLC"
shareaholic.com,shareaholic.com,21-jun-2022,1655769600.0,"GoDaddy.com, LLC"
linksynergy.com,linksynergy.com,21-jul-2022,1658361600.0,"CSC Corporate Domains, Inc."
cintnetworks.com,cintnetworks.com,17-mar-2023,1679011200.0,Name SRS AB
cint.com,cint.com,17-apr-2022,1650153600.0,Name SRS AB
betrad.com,betrad.com,17-nov-2024,1731801600.0,"GoDaddy.com, LLC"
