idna_subject,checker_type,destination,source,tested_at,session_id
books-analytics-events.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:43.334922,7c7292ccad4dc861431e9cd3
metrics.mzstatic.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:43.574527,7c7292ccad4dc861431e9cd3
api-adservices.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:43.597878,7c7292ccad4dc861431e9cd3
metrics.icloud.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:43.632314,7c7292ccad4dc861431e9cd3
notes-analytics-events.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:43.770295,7c7292ccad4dc861431e9cd3
stocks-analytics-events.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.042061,7c7292ccad4dc861431e9cd3
supportmetrics.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.037901,7c7292ccad4dc861431e9cd3
securemetrics.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.075907,7c7292ccad4dc861431e9cd3
advertising.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.190745,7c7292ccad4dc861431e9cd3
weather-analytics-events.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.199231,7c7292ccad4dc861431e9cd3
cs.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.647672,7c7292ccad4dc861431e9cd3
iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.687154,7c7292ccad4dc861431e9cd3
ca.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.719461,7c7292ccad4dc861431e9cd3
cf.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.817311,7c7292ccad4dc861431e9cd3
news.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:44.880882,7c7292ccad4dc861431e9cd3
su.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:45.128011,7c7292ccad4dc861431e9cd3
ut.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:45.225236,7c7292ccad4dc861431e9cd3
tr.iadsdk.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:45.243396,7c7292ccad4dc861431e9cd3
display-apps-ui-soak.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:45.589431,7c7292ccad4dc861431e9cd3
cmws.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:45.612196,7c7292ccad4dc861431e9cd3
display-apps-ui.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:45.945077,7c7292ccad4dc861431e9cd3
iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:46.457754,7c7292ccad4dc861431e9cd3
iadworkbench-soak.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:46.810194,7c7292ccad4dc861431e9cd3
iris.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:47.295017,7c7292ccad4dc861431e9cd3
stg-cmws.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:47.616604,7c7292ccad4dc861431e9cd3
doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:48.112062,7c7292ccad4dc861431e9cd3
accounts.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:48.562444,7c7292ccad4dc861431e9cd3
ad.au.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:49.049743,7c7292ccad4dc861431e9cd3
ad.bg.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:49.541980,7c7292ccad4dc861431e9cd3
ad.br.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:50.032418,7c7292ccad4dc861431e9cd3
ad.cl.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:50.525443,7c7292ccad4dc861431e9cd3
ad.cn.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:51.026049,7c7292ccad4dc861431e9cd3
ad.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:51.528331,7c7292ccad4dc861431e9cd3
ad.eg.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:52.130303,7c7292ccad4dc861431e9cd3
ad.es.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:52.639903,7c7292ccad4dc861431e9cd3
ad.fr.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:53.130706,7c7292ccad4dc861431e9cd3
ad.il.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:53.736013,7c7292ccad4dc861431e9cd3
ad.mo.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:54.230258,7c7292ccad4dc861431e9cd3
ad.nl.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:54.752200,7c7292ccad4dc861431e9cd3
apps.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.198059,7c7292ccad4dc861431e9cd3
blueprints.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.229927,7c7292ccad4dc861431e9cd3
ad.pl.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.235677,7c7292ccad4dc861431e9cd3
ccportal.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.478239,7c7292ccad4dc861431e9cd3
ad.sg.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.758996,7c7292ccad4dc861431e9cd3
ad.uk.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.828554,7c7292ccad4dc861431e9cd3
ad2.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.856211,7c7292ccad4dc861431e9cd3
ad-apac.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:55.891548,7c7292ccad4dc861431e9cd3
adclick.g.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.293925,7c7292ccad4dc861431e9cd3
iadfeed.iad.apple.com,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.299118,7c7292ccad4dc861431e9cd3
ad-emea.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.359454,7c7292ccad4dc861431e9cd3
ad-g.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.387126,7c7292ccad4dc861431e9cd3
ads-bid.l.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.404973,7c7292ccad4dc861431e9cd3
apac.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.794487,7c7292ccad4dc861431e9cd3
adx.g.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.816792,7c7292ccad4dc861431e9cd3
bid.g.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.963712,7c7292ccad4dc861431e9cd3
dart.l.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:56.963539,7c7292ccad4dc861431e9cd3
cm.g.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:57.006981,7c7292ccad4dc861431e9cd3
dart-apac.l.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:57.250748,7c7292ccad4dc861431e9cd3
dmp.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:57.331345,7c7292ccad4dc861431e9cd3
dp.g.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:57.440737,7c7292ccad4dc861431e9cd3
emea.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:57.653873,7c7292ccad4dc861431e9cd3
dfp.doubleclick.net,AVAILABILITY,origin.list,origin.list,2022-03-07 07:32:57.805027,7c7292ccad4dc861431e9cd3
